Sgnyea,Prvcnm_id,a0101,a0102,a0103,a0104,a0105,a0106,a0107,a0108,a0109,a0110,a0111,a0112,a0113,a0114,a0115
年度标识,区块编号,AQI,PM2.5,PM_2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
140706,1227A,36,25,50,25,91,3,4,37,26,6,69,21,58,1.008,1.022
140706,1228A,59,32,57,68,117,11,7,58,50,7,62,15,25,1.74,1.271
140706,1229A,45,31,56,81.090909,106,2,4,82,68,1,115,18,82,2.193,1.239
140706,1230A,33,20,63,43.555556,95,7,14,65,62,48,116,56,104,0.574,1.078
140706,1231A,55,39,57,71.5,88,8,8,33,48,14,99,12,82,0.288,0.713
140706,1232A,81,52,58,111,127,29,27,60,54,6,136,31,102,1.021,0.998
140706,1233A,64,43,52,78,107,5,8,31,23,15,127,41,95,1.107,1.106
140707,1223A,63,45,37,70,55,6,7,50,37,54,136,94,125,0.641,0.913
140707,1224A,42,29,28,108.764706,100.357143,4,5,10.5,19.809524,35,114,88,107,0.854,0.905
140707,1225A,48,33,17,33,38,4,5,5,5,27,34,20,20,0.869133,0.5
140707,1226A,64,46,39,64,46,18,8,68,30,40,126,82,115,0.524,0.598
140707,1227A,46,29,23,46,38,3,3,12,18,38,76,50,60,0.731,0.908
140707,1228A,70,46,33,89,59,7,9,76,39,10,87,48,77,1.298,1.614
140707,1229A,60,43,36,70,66,6,5,68,48,50,130,93,109,1.089,1.488
140707,1230A,48,25,30,48,44,6,7,61,39,73,126,101,117,0.474,0.571
140707,1231A,64,46,39,56,48,15,8,29,22,82,172,101,125,0.719,0.629
140707,1232A,59,35,28,67,58,11,9,31,26,69,122,89,109,0.621,0.759
140707,1233A,44,24,23,44,41,5,4,19,25,31,128,72,104,0.612,0.836
140708,1223A,158,120,97,145,126,20,15,59,51,84,251,169,222,0.918,0.799
140708,1224A,130,99,69,107,111,6,10,51,42,27,190,109,170,1.467,1.307
140708,1225A,62,44,36,54,53,5,5,8,7,37,55,35,42,0.781,0.781
140708,1226A,75,55,84,119.555556,104,10,22,24,45,105,215,151,193,0.404,0.705
140708,1227A,143,109,60,140,99,4,7,25,27,44,154,92,118,0.941,1.031
140708,1228A,90,67,74,90,122,13,15,25,41,52,155,61,130,0.919,1.247
140708,1229A,114,86,81,159,114,10,10,53,53,106,241,167,212,1.066,1.148
140708,1230A,84,62,73,154,108,10,19,37,56,125,200,139,173,0.726,0.919
140708,1231A,113,85,89,136,85,8,16,18,30,110,212,130,174,0.441,0.915
140708,1232A,81,57,73,112,133,18,46,8,38,90,233,152,193,0.989,0.854
140708,1233A,130,99,58,132,98,6,9,44,31,29,244,142,195,1.056,0.954
140709,1223A,140,107,67,126,90,15,14,52,33,105,211,176,191,1.379,0.587
140709,1224A,90,67,59,75,79,6,7,43,36,82,173,148,165,0.777,0.731
140709,1225A,60,35,47,69,90,5,5,10,9,41,74,56,66,0.781,0.781
140709,1226A,69,50,55,80,78,22,15,47,32,43,204,130,178,0.51,0.397
140709,1227A,82,60,48,88,76,5,5,23,21,101,172,104,125,0.575,0.601
140709,1228A,102,76,44,127,84,23,9,41,24,36,134,43,105,1.836,0.783
140709,1229A,85,63,51,120,88,8,16,56,39,98,235,184,209,1.09,0.812
140709,1230A,95,71,56,81,81,14,11,45,38,110,187,158,175,0.643,0.58
140709,1231A,129,98,74,79,91,14,10,34,27,63,217,153,197,0.566,0.499
140709,1232A,58,41,56,59.434783,64,17,12,31,20,92,164,139,150,0.764,0.662
140709,1233A,88,65,52,91,83,8,8,24,24,148,216,141,185,0.719,0.766
140710,1223A,73,50,51,95,84,10,8,51,28,18,207,96,161,0.775,0.72
140710,1224A,64,46,47,61,69,7,7,65,34,14,161,77,137,1.488,1.044
140710,1225A,45,31,34,45,72,5,5,6,8,23,92,41,58,0.781,0.781
140710,1226A,85,63,54,98,78,26,13,59,28,28,173,72,133,0.501,0.529
140710,1227A,51,33,42,51,74,3,5,39,19,4,123,47,102,0.724,0.629
140710,1228A,82,48,42,114,90,22,9,50,27,14,120,49,102,0.614,0.68
140710,1229A,74,48,42,98,80,13,7,73,41,18,189,84,166,0.891,0.856
140710,1230A,83,52,43,115,83,21,15,75,44,47,157,83,149,0.697,0.777
140710,1231A,113,85,65,107,79,18,10,25,24,66,172,79,136,0.59,0.605
140710,1232A,59,65,39,67,70,11,8,28,24,44,161,80,133,0.676,0.739
140710,1233A,55,35,37,59,75,4,6,28,19,21,188,88,146,0.902,0.71
140711,1223A,129,98,95,135,143,3,8,84,54,38,324,133,260,1.403,1.088
140711,1224A,23,128.5,65,91.384615,74,4,5,46,43,17,195,72,190,1.54,1.323
140711,1225A,54,38,35,57,64,4,5,6,6,95,121,85,87,0.297,0.68
140711,1226A,130,99,104,163,147,12,27,94,58,25,288,115,222,1.18,0.799
140711,1227A,92,68,65,79,106,3,4,7,26,51,163,84,138,0.874,0.904
140711,1228A,93,69,78,119,149,6,15,94,55,7,199,52,152,2.229,1.227
140711,1229A,104,78,81,104,137,4,8,100,76,17,286,91,220,1.545,1.412
140711,1230A,104,78,68,100,126,3,16,66,67,56,221,94,192,1.07,1.151
140711,1231A,170,129,113,173,139,7,12,105,40,2,225,111,198,1.628,0.903
140711,1232A,182,137,77,141,145,6,19,41,54,56,264,122,216,1.332,1.112
140711,1233A,93,69,57,92,103,4,4,27,30,37,253,94,194,0.854,0.841
140712,1223A,103,77,83,91,125,2,3,46,42,49,199,97,153,0.974,1.082
140712,1224A,92,68,81,84,99,7,6,64,44,15,183,66,133,0.923,0.773
140712,1225A,24,12,37,19,61,5,5,12,8,75,152,92,123,0.771,0.717
140712,1226A,128,97,91,94.2,135,21,19,55,46,103,234,138,200,0.739,0.905
140712,1227A,70,51,63,59,94,3,3,14,14,24,143,49,115,0.725,0.837
140712,1228A,80,59,69,96,129,7,7,52,44,23,139,35,90,1.125,1.264
140712,1229A,83,53,70,115,112,3,3,79,56,15,200,88,176,1.239,1.241
140712,1230A,78,57,58,85,107,5,9,68,47,44,168,81,154,0.989,1.051
140712,1231A,85,63,96,109,128,9,6,65,52,53,196,102,169,0.786,1.226
140712,1232A,84,62,73,77,134,14,9,39,34,38,219,112,194,1.027,1.15
140712,1233A,58,41,61,54,101,4,4,18,18,18,185,54,164,0.711,0.821
140713,1223A,17,8,37,10,69,3,6,15,29,54,165,69,120,0.493,0.741
140713,1224A,19,13,39,22.666667,50,5,8,29,35,34,129,58,96,0.352,0.508
140713,1225A,26,6,15,7,26,4,5,10,11,81,100,82,89,0.632,0.717
140713,1226A,29,20,47,47.5,79,5,10,15,24,52,198,80,145,0.322,0.509
140713,1227A,18,12,30,19.333333,51,3,3,5,13,28,120,32,86,0.337,0.52
140713,1228A,11,1,30,9,70,3,6,22,28,26,109,38,65,0.711,0.805
140713,1229A,21,6,34,7,62,2,3,42,43,33,164,57,112,0.658,0.965
140713,1230A,23,14,38,18,66,2,8,46,40,51,143,79,112,0.552,0.752
140713,1231A,27,16,54,25,84,5,8,54,42,12,177,64,115,0.597,0.701
140713,1232A,16,10,39,11,80,2,11,13,25,49,179,74,127,0.551,0.835
140713,1233A,16,5,26,8,56,4,4,7,16,50,173,67,126,0.385,0.579
140714,1223A,48,33,25,31.571429,31,6,5,40,33,44,92,74,85,0.786,0.916
140714,1224A,30,21,20,28.333333,21,6,5,37,32,51,92,68,84,0.726,0.67
140714,1225A,31,3,5,4,10,4,4,10,11,99,120,107,108,0.645,0.651
140714,1226A,48,33,32,54.89313,38,8,10,21,34,72,104,65,88,0.532,0.648
140714,1227A,26,18,19,24,25,3,3,9,15,34,75,57,59,0.494,0.585
